#Release 14.1 - par P.15xf (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Wed Oct  1 13:32:26 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       myNetworkAurora_map.ncd
#OUTPUT FILE:      myNetworkAurora_pad.csv
#PART TYPE:        xc5vlx110t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AH22,recv_ports_1_getFlit<3>,IOB,IO_L0N_GC_D14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH23,,IOBM,IO_L2P_6,UNUSED,,6,,,,,,,,,
AH24,,IOBM,IO_L0P_6,UNUSED,,6,,,,,,,,,
AH25,send_ports_3_putFlit_flit_in<12>,IOB,IO_L12N_VRP_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AH26,,,GND,,,,,,,,,,,,
AH27,send_ports_3_putFlit_flit_in<9>,IOB,IO_L11P_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AH28,,IOBS,IO_L6N_21,UNUSED,,21,,,,,,,,,
AH29,recv_ports_2_getFlit<1>,IOB,IO_L19P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AH30,recv_ports_2_getFlit<20>,IOB,IO_L18N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AH31,,,VCCO_17,,,17,,,,,2.50,,,,
AH32,send_ports_2_putFlit_flit_in<1>,IOB,IO_L14N_VREF_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AH33,recv_ports_2_putNonFullVCs_nonFullVCs<0>,IOB,IO_L12N_VRP_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AH34,send_ports_2_putFlit_flit_in<4>,IOB,IO_L10P_CC_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AJ2,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
AJ3,,,MGTAVTTTX_118,,,,,,,,,,,,
AJ4,,,MGTAVCC_122,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,,IOBS,IO_L16N_18,UNUSED,,18,,,,,,,,,
AJ7,,IOBM,IO_L16P_18,UNUSED,,18,,,,,,,,,
AJ8,,,VCCO_22,,,22,,,,,any******,,,,
AJ9,,IOBM,IO_L15P_22,UNUSED,,22,,,,,,,,,
AJ10,,IOBS,IO_L15N_22,UNUSED,,22,,,,,,,,,
AJ11,,IOBS,IO_L11N_CC_22,UNUSED,,22,,,,,,,,,
AJ12,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,
AJ13,,,GND,,,,,,,,,,,,
AJ14,,IOBM,IO_L5P_6,UNUSED,,6,,,,,,,,,
AJ15,,IOBS,IO_L9N_CC_6,UNUSED,,6,,,,,,,,,
AJ16,,IOBM,IO_L9P_CC_6,UNUSED,,6,,,,,,,,,
AJ17,,IOBS,IO_L12N_VRP_6,UNUSED,,6,,,,,,,,,
AJ18,,,VCCO_6,,,6,,,,,2.50,,,,
AJ19,,IOBM,IO_L15P_6,UNUSED,,6,,,,,,,,,
AJ20,,IOBS,IO_L8N_CC_6,UNUSED,,6,,,,,,,,,
AJ21,,IOBM,IO_L8P_CC_6,UNUSED,,6,,,,,,,,,
AJ22,,IOBS,IO_L2N_6,UNUSED,,6,,,,,,,,,
AJ23,,,GND,,,,,,,,,,,,
AJ24,,IOBS,IO_L0N_6,UNUSED,,6,,,,,,,,,
AJ25,send_ports_3_putFlit_flit_in<3>,IOB,IO_L12P_VRN_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AJ26,send_ports_3_putFlit_flit_in<8>,IOB,IO_L11N_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AJ27,recv_ports_3_getFlit<3>,IOB,IO_L8N_CC_21,OUTPUT,LVCMOS25*,21,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ28,,,VCCO_21,,,21,,,,,2.50,,,,
AJ29,send_ports_3_putFlit_flit_in<10>,IOB,IO_L9N_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AJ30,,IOBM,IO_L18P_17,UNUSED,,17,,,,,,,,,
AJ31,send_ports_1_putFlit_flit_in<11>,IOB,IO_L16P_17,INPUT,LVCMOS25*,17,,,,NONE,,UNLOCATED,NO,NONE,
AJ32,send_ports_2_putFlit_flit_in<9>,IOB,IO_L15P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AJ33,,,GND,,,,,,,,,,,,
AJ34,send_ports_2_putFlit_flit_in<7>,IOB,IO_L10N_CC_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AK2,,OPAD,MGTTXP0_122,UNUSED,,,,,,,,,,,
AK3,,,MGTAVTTTX_122,,,,,,,,,,,,
AK4,,,GND,,,,,,,,,,,,
AK5,,,MGTAVCC_122,,,,,,,,,,,,
AK6,,IOBS,IO_L18N_18,UNUSED,,18,,,,,,,,,
AK7,,IOBM,IO_L18P_18,UNUSED,,18,,,,,,,,,
AK8,,IOBM,IO_L13P_22,UNUSED,,22,,,,,,,,,
AK9,,IOBS,IO_L13N_22,UNUSED,,22,,,,,,,,,
AK10,,,GND,,,,,,,,,,,,
AK11,,IOBM,IO_L11P_CC_22,UNUSED,,22,,,,,,,,,
AK12,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,
AK13,,IOBS,IO_L3N_6,UNUSED,,6,,,,,,,,,
AK14,,IOBS,IO_L5N_6,UNUSED,,6,,,,,,,,,
AK15,,,VCCO_6,,,6,,,,,2.50,,,,
AK16,,IOBM,IO_L10P_CC_6,UNUSED,,6,,,,,,,,,
AK17,,IOBM,IO_L12P_VRN_6,UNUSED,,6,,,,,,,,,
AK18,,IOBM,IO_L14P_6,UNUSED,,6,,,,,,,,,
AK19,,IOBS,IO_L15N_6,UNUSED,,6,,,,,,,,,
AK20,,,GND,,,,,,,,,,,,
AK21,,IOBS,IO_L11N_CC_6,UNUSED,,6,,,,,,,,,
AK22,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,
AK23,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,
AK24,,IOBM,IO_L4P_6,UNUSED,,6,,,,,,,,,
AK25,,,VCCO_25,,,25,,,,,2.50,,,,
AK26,send_ports_3_putFlit_flit_in<17>,IOB,IO_L8P_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AK27,send_ports_3_putFlit_flit_in<11>,IOB,IO_L10N_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AK28,send_ports_3_putFlit_flit_in<7>,IOB,IO_L10P_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AK29,send_ports_3_putFlit_flit_in<18>,IOB,IO_L9P_CC_21,INPUT,LVCMOS25*,21,,,,NONE,,UNLOCATED,NO,NONE,
AK30,,,GND,,,,,,,,,,,,
AK31,recv_ports_2_getFlit<12>,IOB,IO_L16N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,UNLOCATED,NO,NONE,
AK32,EN_recv_ports_2_putNonFullVCs,IOB,IO_L15N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AK33,send_ports_2_putFlit_flit_in<8>,IOB,IO_L13N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AK34,send_ports_2_putFlit_flit_in<0>,IOB,IO_L13P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AL1,,IPAD,MGTRXP0_122,UNUSED,,,,,,,,,,,
AL2,,OPAD,MGTTXN0_122,UNUSED,,,,,,,,,,,
AL3,,,MGTAVTTRX_122,,,,,,,,,,,,
AL4,,IPAD,MGTREFCLKN_122,UNUSED,,,,,,,,,,,
AL5,,IPAD,MGTREFCLKP_122,UNUSED,,,,,,,,,,,
AL6,,,GND,,,,,,,,,,,,
AL7,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AL8,,,MGTAVCC_126,,,,,,,,,,,,
AL9,,,GND,,,,,,,,,,,,
AL10,,IOBS,IO_L8N_CC_22,UNUSED,,22,,,,,,,,,
AL11,,IOBM,IO_L8P_CC_22,UNUSED,,22,,,,,,,,,
AL12,,,VCCO_4,,,4,,,,,2.50,,,,
AL13,send_ports_3_putFlit_flit_in<20>,IOB,IO_L3P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
AL14,,IOBS,IO_L7N_6,UNUSED,,6,,,,,,,,,
AL15,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,
AL16,,IOBS,IO_L10N_CC_6,UNUSED,,6,,,,,,,,,
AL17,,,GND,,,,,,,,,,,,
AL18,,IOBS,IO_L14N_VREF_6,UNUSED,,6,,,,,,,,,
AL19,,IOBM,IO_L13P_6,UNUSED,,6,,,,,,,,,
AL20,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,
AL21,,IOBM,IO_L11P_CC_6,UNUSED,,6,,,,,,,,,
AL22,,,VCCO_25,,,25,,,,,2.50,,,,
AL23,,IOBS,IO_L4N_VREF_6,UNUSED,,6,,,,,,,,,
AL24,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AL25,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AL26,EN_send_ports_3_putFlit,IOB,IO_L9N_CC_25,INPUT,LVCMOS25*,25,,,,NONE,,UNLOCATED,NO,NONE,
AL27,,,GND,,,,,,,,,,,,
AL28,recv_ports_3_getFlit<12>,IOB,IO_L4N_VREF_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL29,send_ports_3_putFlit_flit_in<2>,IOB,IO_L0P_25,INPUT,LVCMOS25*,25,,,,NONE,,UNLOCATED,NO,NONE,
AL30,recv_ports_3_getFlit<8>,IOB,IO_L0N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL31,recv_ports_3_getFlit<9>,IOB,IO_L1N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AL32,,,VCCO_21,,,21,,,,,2.50,,,,
AL33,send_ports_2_putFlit_flit_in<13>,IOB,IO_L16N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AL34,send_ports_2_putFlit_flit_in<5>,IOB,IO_L16P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AM1,,IPAD,MGTRXN0_122,UNUSED,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,
AM3,,,MGTAVTTTX_122,,,,,,,,,,,,
AM4,,,MGTAVCCPLL_122,,,,,,,,,,,,
AM5,,,MGTAVTTTX_126,,,,,,,,,,,,
AM6,,,MGTAVTTRX_126,,,,,,,,,,,,
AM7,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AM8,,,MGTAVCC_126,,,,,,,,,,,,
AM9,,,MGTAVCCPLL_126,,,,,,,,,,,,
AM10,,,MGTAVTTTX_126,,,,,,,,,,,,
AM11,,IOBS,IO_L6N_22,UNUSED,,22,,,,,,,,,
AM12,,IOBM,IO_L6P_22,UNUSED,,22,,,,,,,,,
AM13,,IOBS,IO_L2N_22,UNUSED,,22,,,,,,,,,
AM14,,,GND,,,,,,,,,,,,
AM15,,IOBM,IO_L16P_6,UNUSED,,6,,,,,,,,,
AM16,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
AM17,,IOBM,IO_L19P_6,UNUSED,,6,,,,,,,,,
AM18,,IOBS,IO_L17N_25,UNUSED,,25,,,,,,,,,
AM19,,,VCCO_2,,,2,,,,,2.50,,,,
AM20,,IOBS,IO_L13N_25,UNUSED,,25,,,,,,,,,
AM21,,IOBM,IO_L13P_25,UNUSED,,25,,,,,,,,,
AM22,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AM23,,IOBS,IO_L14N_VREF_25,UNUSED,,25,,,,,,,,,
AM24,,,GND,,,,,,,,,,,,
AM25,,IOBS,IO_L8N_CC_25,UNUSED,,25,,,,,,,,,
AM26,,IOBM,IO_L9P_CC_25,UNUSED,,25,,,,,,,,,
AM27,recv_ports_3_getFlit<17>,IOB,IO_L4P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM28,,IOBS,IO_L7N_25,UNUSED,,25,,,,,,,,,
AM29,,,VCCO_21,,,21,,,,,2.50,,,,
AM30,recv_ports_3_getFlit<15>,IOB,IO_L2N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AM31,send_ports_3_putFlit_flit_in<4>,IOB,IO_L1P_25,INPUT,LVCMOS25*,25,,,,NONE,,UNLOCATED,NO,NONE,
AM32,send_ports_2_putFlit_flit_in<16>,IOB,IO_L17N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AM33,send_ports_2_putFlit_flit_in<14>,IOB,IO_L17P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AM34,,,GND,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,,,GND,,,,,,,,,,,,
AN3,,OPAD,MGTTXN1_122,UNUSED,,,,,,,,,,,
AN4,,OPAD,MGTTXP1_122,UNUSED,,,,,,,,,,,
AN5,,OPAD,MGTTXP0_126,UNUSED,,,,,,,,,,,
AN6,,OPAD,MGTTXN0_126,UNUSED,,,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,,GND,,,,,,,,,,,,
AN9,,OPAD,MGTTXN1_126,UNUSED,,,,,,,,,,,
AN10,,OPAD,MGTTXP1_126,UNUSED,,,,,,,,,,,
AN11,,,GND,,,,,,,,,,,,
AN12,,IOBS,IO_L4N_VREF_22,UNUSED,,22,,,,,,,,,
AN13,,IOBM,IO_L2P_22,UNUSED,,22,,,,,,,,,
AN14,,IOBM,IO_L0P_22,UNUSED,,22,,,,,,,,,
AN15,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,
AN16,,,VCCO_6,,,6,,,,,2.50,,,,
AN17,,IOBS,IO_L19N_6,UNUSED,,6,,,,,,,,,
AN18,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AN19,,IOBM,IO_L19P_25,UNUSED,,25,,,,,,,,,
AN20,,IOBM,IO_L15P_25,UNUSED,,25,,,,,,,,,
AN21,,,GND,,,,,,,,,,,,
AN22,send_ports_0_getNonFullVCs<1>,IOB,IO_L16P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN23,,IOBM,IO_L14P_25,UNUSED,,25,,,,,,,,,
AN24,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,,,,,,,
AN25,,IOBM,IO_L8P_CC_25,UNUSED,,25,,,,,,,,,
AN26,,,VCCO_25,,,25,,,,,2.50,,,,
AN27,recv_ports_3_getFlit<14>,IOB,IO_L6N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN28,recv_ports_info_1_getRecvPortID<0>,IOB,IO_L7P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN29,recv_ports_3_getFlit<6>,IOB,IO_L5N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN30,recv_ports_3_getFlit<11>,IOB,IO_L2P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AN31,,,GND,,,,,,,,,,,,
AN32,send_ports_2_putFlit_flit_in<12>,IOB,IO_L19P_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
AN33,recv_ports_2_getFlit<15>,IOB,IO_L18N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AN34,recv_ports_2_getFlit<17>,IOB,IO_L18P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AP2,,IPAD,MGTRXN1_122,UNUSED,,,,,,,,,,,
AP3,,IPAD,MGTRXP1_122,UNUSED,,,,,,,,,,,
AP6,,IPAD,MGTRXP0_126,UNUSED,,,,,,,,,,,
AP7,,IPAD,MGTRXN0_126,UNUSED,,,,,,,,,,,
AP8,,IPAD,MGTRXN1_126,UNUSED,,,,,,,,,,,
AP9,,IPAD,MGTRXP1_126,UNUSED,,,,,,,,,,,
AP11,,,GND,,,,,,,,,,,,
AP12,,IOBM,IO_L4P_22,UNUSED,,22,,,,,,,,,
AP13,,,GND,,,,,,,,,,,,
AP14,,IOBS,IO_L0N_22,UNUSED,,22,,,,,,,,,
AP15,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,
AP16,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,
AP17,,IOBS,IO_L17N_6,UNUSED,,6,,,,,,,,,
AP18,,,GND,,,,,,,,,,,,
AP19,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AP20,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AP21,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AP22,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AP23,,,GND,,,,,,,,,,,,
AP24,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,,,,,,,
AP25,,IOBS,IO_L10N_CC_25,UNUSED,,25,,,,,,,,,
AP26,,IOBM,IO_L10P_CC_25,UNUSED,,25,,,,,,,,,
AP27,,IOBM,IO_L6P_25,UNUSED,,25,,,,,,,,,
AP28,,,GND,,,,,,,,,,,,
AP29,,IOBM,IO_L5P_25,UNUSED,,25,,,,,,,,,
AP30,recv_ports_info_2_getRecvPortID<0>,IOB,IO_L3P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP31,recv_ports_3_getFlit<5>,IOB,IO_L3N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP32,recv_ports_2_getFlit<14>,IOB,IO_L19N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AP33,,,GND,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,OPAD,MGTTXN0_120,UNUSED,,,,,,,,,,,
B4,,OPAD,MGTTXP0_120,UNUSED,,,,,,,,,,,
B5,,OPAD,MGTTXP1_124,UNUSED,,,,,,,,,,,
B6,,OPAD,MGTTXN1_124,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,,OPAD,MGTTXN0_124,UNUSED,,,,,,,,,,,
B10,,OPAD,MGTTXP0_124,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IOBS,IO_L8N_CC_20,UNUSED,,20,,,,,,,,,
B13,,IOBM,IO_L11P_CC_20,UNUSED,,20,,,,,,,,,
B14,,,GND,,,,,,,,,,,,
B15,,IOBS,IO_L0N_5,UNUSED,,5,,,,,,,,,
B16,,IOBM,IO_L0P_5,UNUSED,,5,,,,,,,,,
B17,,IOBM,IO_L2P_5,UNUSED,,5,,,,,,,,,
B18,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
B19,,,VCCO_5,,,5,,,,,any******,,,,
B20,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
B21,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
B22,,IOBS,IO_L3N_23,UNUSED,,23,,,,,,,,,
B23,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
B24,,,GND,,,,,,,,,,,,
B25,,IOBM,IO_L11P_CC_23,UNUSED,,23,,,,,,,,,
B26,,IOBM,IO_L9P_CC_23,UNUSED,,23,,,,,,,,,
B27,,IOBM,IO_L10P_CC_23,UNUSED,,23,,,,,,,,,
B28,,IOBS,IO_L12N_VRP_23,UNUSED,,23,,,,,,,,,
B29,,,GND,,,,,,,,,,,,
B30,,IOBS,IO_L19N_23,UNUSED,,23,,,,,,,,,
B31,,IOBM,IO_L16P_23,UNUSED,,23,,,,,,,,,
B32,recv_ports_info_0_getRecvPortID<1>,IOB,IO_L0P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
B33,send_ports_2_getNonFullVCs<1>,IOB,IO_L1P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
B34,,,GND,,,,,,,,,,,,
C1,,IPAD,MGTRXN1_120,UNUSED,,,,,,,,,,,
C2,,,GND,,,,,,,,,,,,
C3,,,MGTAVTTRX_120,,,,,,,,,,,,
C4,,,MGTAVTTTX_120,,,,,,,,,,,,
C5,,,MGTAVTTTX_124,,,,,,,,,,,,
C6,,,MGTAVCCPLL_124,,,,,,,,,,,,
C7,,,MGTAVCC_124,,,,,,,,,,,,
C8,,IPAD,MGTREFCLKN_124,UNUSED,,,,,,,,,,,
C9,,,MGTAVTTRX_124,,,,,,,,,,,,
C10,,,MGTAVTTTX_124,,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,,IOBS,IO_L6N_20,UNUSED,,20,,,,,,,,,
C13,,IOBS,IO_L11N_CC_20,UNUSED,,20,,,,,,,,,
C14,,IOBM,IO_L3P_5,UNUSED,,5,,,,,,,,,
C15,,IOBS,IO_L3N_5,UNUSED,,5,,,,,,,,,
C16,,,VCCO_5,,,5,,,,,any******,,,,
C17,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
C18,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
C19,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
C20,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
C21,,,GND,,,,,,,,,,,,
C22,,IOBM,IO_L3P_23,UNUSED,,23,,,,,,,,,
C23,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
C24,,IOBM,IO_L8P_CC_23,UNUSED,,23,,,,,,,,,
C25,,IOBS,IO_L11N_CC_23,UNUSED,,23,,,,,,,,,
C26,,,VCCO_23,,,23,,,,,any******,,,,
C27,,IOBS,IO_L13N_23,UNUSED,,23,,,,,,,,,
C28,,IOBM,IO_L15P_23,UNUSED,,23,,,,,,,,,
C29,,IOBM,IO_L12P_VRN_23,UNUSED,,23,,,,,,,,,
C30,,IOBM,IO_L17P_23,UNUSED,,23,,,,,,,,,
C31,,,GND,,,,,,,,,,,,
C32,RESET,IOB,IO_L2P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
C33,,IOBS,IO_L1N_11,UNUSED,,11,,,,,,,,,
C34,send_ports_1_getNonFullVCs<1>,IOB,IO_L3P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,,IPAD,MGTRXP1_120,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTTXN1_120,UNUSED,,,,,,,,,,,
D3,,,MGTAVCCPLL_120,,,,,,,,,,,,
D4,,IPAD,MGTREFCLKN_120,UNUSED,,,,,,,,,,,
D5,,,MGTAVCC_120,,,,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,,MGTAVCC_124,,,,,,,,,,,,
D8,,IPAD,MGTREFCLKP_124,UNUSED,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,IOBS,IO_L4N_VREF_20,UNUSED,,20,,,,,,,,,
D11,,IOBM,IO_L4P_20,UNUSED,,20,,,,,,,,,
D12,,IOBM,IO_L6P_20,UNUSED,,20,,,,,,,,,
D13,,,VCCO_1,,,1,,,,,any******,,,,
D14,,IOBM,IO_L9P_CC_5,UNUSED,,5,,,,,,,,,
D15,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,
D16,,IOBM,IO_L7P_5,UNUSED,,5,,,,,,,,,
D17,,IOBS,IO_L5N_5,UNUSED,,5,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,,IOBS,IO_L12N_VRP_5,UNUSED,,5,,,,,,,,,
D20,,IOBS,IO_L6N_5,UNUSED,,5,,,,,,,,,
D21,,IOBM,IO_L13P_5,UNUSED,,5,,,,,,,,,
D22,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
D23,,,VCCO_3,,,3,,,,,any******,,,,
D24,,IOBM,IO_L17P_5,UNUSED,,5,,,,,,,,,
D25,,IOBS,IO_L8N_CC_23,UNUSED,,23,,,,,,,,,
D26,,IOBM,IO_L13P_23,UNUSED,,23,,,,,,,,,
D27,,IOBS,IO_L15N_23,UNUSED,,23,,,,,,,,,
D28,,,GND,,,,,,,,,,,,
D29,,IOBS,IO_L17N_23,UNUSED,,23,,,,,,,,,
D30,,IOBS,IO_L18N_23,UNUSED,,23,,,,,,,,,
D31,,IOBM,IO_L18P_23,UNUSED,,23,,,,,,,,,
D32,CHANNEL_UP,IOB,IO_L2N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
D33,,,GND,,,,,,,,,,,,
D34,recv_ports_info_3_getRecvPortID<0>,IOB,IO_L3N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,OPAD,MGTTXP1_120,UNUSED,,,,,,,,,,,
E3,,,MGTAVTTTX_120,,,,,,,,,,,,
E4,,IPAD,MGTREFCLKP_120,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,IOBM,IO_L19P_12,UNUSED,,12,,,,,,,,,
E7,,IOBS,IO_L19N_12,UNUSED,,12,,,,,,,,,
E8,,IOBS,IO_L0N_20,UNUSED,,20,,,,,,,,,
E9,,IOBM,IO_L0P_20,UNUSED,,20,,,,,,,,,
E10,,,VCCO_20,,,20,,,,,any******,,,,
E11,,IOBS,IO_L15N_20,UNUSED,,20,,,,,,,,,
E12,,IOBM,IO_L17P_20,UNUSED,,20,,,,,,,,,
E13,,IOBS,IO_L17N_20,UNUSED,,20,,,,,,,,,
E14,,IOBS,IO_L9N_CC_5,UNUSED,,5,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBS,IO_L10N_CC_5,UNUSED,,5,,,,,,,,,
E17,,IOBM,IO_L10P_CC_5,UNUSED,,5,,,,,,,,,
E18,,IOBM,IO_L12P_VRN_5,UNUSED,,5,,,,,,,,,
E19,,IOBM,IO_L4P_5,UNUSED,,5,,,,,,,,,
E20,,,VCCO_3,,,3,,,,,any******,,,,
E21,,IOBM,IO_L6P_5,UNUSED,,5,,,,,,,,,
E22,,IOBM,IO_L15P_5,UNUSED,,5,,,,,,,,,
E23,,IOBS,IO_L17N_5,UNUSED,,5,,,,,,,,,
E24,,IOBS,IO_L19N_5,UNUSED,,5,,,,,,,,,
E25,,,GND,,,,,,,,,,,,
E26,,IOBM,IO_L11P_CC_19,UNUSED,,19,,,,,,,,,
